
admin,Banker administrative side option selected: 0,2021-05-26 16:33:19,main
admin,Banker closed the system.,2021-05-26 16:33:19,main

System accessed at: 2021-05-26 19:56:40, , , thread_name
admin,Connected to the admin system,2021-05-26 19:56:42,main

System accessed at: 2021-05-26 19:57:28, , , thread_name
admin,Connected to the admin system,2021-05-26 19:57:33,main

System accessed at: 2021-05-26 19:58:07, , , thread_name
admin,Connected to the admin system,2021-05-26 19:58:09,main
admin,Banker administrative side option selected: 0,2021-05-26 19:58:11,main
admin,Banker closed the system.,2021-05-26 19:58:11,main

System accessed at: 2021-05-26 20:12:20, , , thread_name
admin,Connected to the admin system,2021-05-26 20:12:23,main

System accessed at: 2021-05-26 20:21:28, , , thread_name
admin,Connected to the admin system,2021-05-26 20:21:31,main

System accessed at: 2021-05-26 20:22:05, , , thread_name
admin,Connected to the admin system,2021-05-26 20:22:07,main
admin,Banker administrative side option selected: 0,2021-05-26 20:22:09,main
admin,Banker closed the system.,2021-05-26 20:22:09,main

System accessed at: 2021-05-26 20:34:15, , , thread_name
admin,Connected to the admin system,2021-05-26 20:34:17,main

System accessed at: 2021-05-26 20:34:51, , , thread_name
admin,Connected to the admin system,2021-05-26 20:34:53,main

System accessed at: 2021-05-26 20:35:37, , , thread_name
admin,Connected to the admin system,2021-05-26 20:35:40,main
admin,Banker administrative side option selected: 0,2021-05-26 20:35:41,main
admin,Banker closed the system.,2021-05-26 20:35:41,main

System accessed at: 2021-05-26 20:39:16, , , thread_name
admin,Connected to the admin system,2021-05-26 20:39:18,main
admin,Banker administrative side option selected: 0,2021-05-26 20:39:21,main
admin,Banker closed the system.,2021-05-26 20:39:21,main

System accessed at: 2021-05-26 20:52:09, , , thread_name
admin,Connected to the admin system,2021-05-26 20:52:12,main

System accessed at: 2021-05-26 20:52:40, , , thread_name
admin,Connected to the admin system,2021-05-26 20:52:42,main
admin,Banker administrative side option selected: 0,2021-05-26 20:52:44,main
admin,Banker closed the system.,2021-05-26 20:52:44,main

System accessed at: 2021-05-26 21:16:40, , , thread_name
admin,Connected to the admin system,2021-05-26 21:16:43,main
admin,Banker administrative side option selected: 1,2021-05-26 21:16:44,main

System accessed at: 2021-05-26 21:31:05, , , thread_name

System accessed at: 2021-05-26 21:31:58, , , thread_name
admin,Connected to the admin system,2021-05-26 21:32:01,main
admin,Banker administrative side option selected: 4,2021-05-26 21:32:04,main
admin,Banker administrative side option selected: 0,2021-05-26 21:32:07,main
